USITEID,YSITEID,SITECODE,REGION,lon,lat,MONTH,YEAR,SURVEY,ANNUAL,COUNTRY,REGION,DISTRICT,COMMUNITY,USWBTYPE,WBFLOW,HUMAN,RAMSAR,ENDEM_CASE,ENDEM_DIST,BU_2003,BU_2004,BU_2005,BU_2006,BU_2007,BU_TOTAL,Soil Type,FTemp,FSPECCOND,LELECTCOND,FDO,FPH,LPH,ORP,FTURB,LTURB,CHLORO,COLORAP,SUSSOLIDS,DISSOLIDS,NA,K,CA,MG,FE,CL,SO4,PO4P,MN,NO2N,NO3N,TOTHARD,TOTALK,CALHARD,MAGHARD,HCO3,AS,NH4,F,NF.ER.(N),NF.ER.NoPos(N),NF.ER.Positivity,NF.NoforVNTR,NF.VNTR.MU(N),NF.VNTR.MU.NoPos(N),NF.VNTR.Positivity(MU),NF.Total.MU.Positivity,NF.VNTR.MPM(N),NF.VNTR.NoPos.MPM(N),NF.VNTR.Positivity(MPM),NF.Total.MPM.Positivity,FF.ER(N),FF.ER.NoPos(N),FF.ER.Positivity,FF.NoforVNTR,FF.VNTR.MU(N),FF.VNTR.MU.NoPos(N),FF.VNTR.Positivity(MU),FF.Total.MU.Positivity,FF.VNTR.MPM(N),FFVNTR.NoPos.MPM(N),FF.VNTR.Positivity(MPM),FF.Total.MPM.Positivity,Plant.A,Plant.B,Plant.C,A.ER,B.ER,C.ER,ER(N),Plant.ER.NoPos(N),Plant.ER.Positivity,MU.A.VNTR,MU.B.VNTR,MU.C.VNTR,Plant.MU.VNTR(N),Plant.MU.VNTR.NoPos(N),Plant.MU.VNTR.Positivity,Plant.Total.MU.Positivity,MPM.A.VNTR,MPM.B.VNTR,MPM.C.VNTR,MPM.VNTR.(N),Plant.MPM.VNTR.NoPos(N),Plant.MPM.VNTR.Positivity,Plant.Total.MPM.Positivity,Avg.MU.Total.VNTR.Positivity,Total.MU.Present.(VNTR),Avg.MPM.Total.VNTR.Positivity,Total.MPM.Present.(VNTR),Avg.Filter.VNTR.MU,Avg.Filter.VNTR.MPM,Filter.MU.Present.(VNTR),Plant.MU.Present.(VNTR),Filter.MPM.Present.(VNTR),Plant.MPM.Present.(VNTR),Total.ER.Present,Total.ER.NoPos(N),Avg.Total.ER.Positivity
S.5.18,19,UDE-AMP-E-0805-19,Central,-2.03272,6.13711,8,2005,Survey,Annual,Ghana,Ashanti,Upper Denkyira,Ampa Abena,river,lotic,human,6,E,E,4,1,2,NA,1,8,Orthic Acrisols,23.3,92.3,103,62.5,6.5,6.8,-8.0,14.82,27.00,11.6,50,13,57,4,2,8.0,4.9,1.6,7.9,8.4,0.000,0.017,0.008,0.075,36.0,32.0,16.0,20.0,39.0,7.41,NA,NA,8,2,0.25,6,1,0,0.00,0.00,1,0,0.00,0.00,5,4,0.80,5,4,0,0.00,0.00,4,0,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,0,#VALUE!,0,0.00,0.00,0,NA,0,NA,1,#VALUE!,#VALUE!
S.6.48,48,UDE-SUB-E-0806-48,Central,-2.04328,6.2011,8,2006,Survey,Annual,Ghana,Ashanti,Upper Denkyira,Subin,pond,lentic,nature,TS,E,E,11,5,5,NA,2,23,Orthic Acrisols,26.1,154.0,165,2.8,6.8,6.7,93.3,34.4,19.8,34.9,60,3,90.8,NA,NA,16.8,4.4,3.5,7.9,4.6,0.126,0.282,0.005,0.271,60.0,66.0,42.1,17.9,80.5,0.0005,0.170,0.428,6,6,1.00,6,6,3,0.50,0.50,6,0,0.00,0.00,6,1,0.17,6,1,0,0.00,0.00,1,0,0.00,0.00,Nymphaea,Polygonum,Detritus,1,1,1,3,3,1.00,0,0,0,3,0,0.00,0.00,0,1,1,3,2,0.67,0.67,0.17,1,0.22,1,0.25,0.00,1,0,0,1,1,10,0.72
S.6.49,49,UDE-SUB-E-0806-49,Central,-2.04439,6.20679,8,2006,Survey,Annual,Ghana,Ashanti,Upper Denkyira,Subin,stream,lotic,nature,N,E,E,11,5,5,NA,2,23,Orthic Acrisols,24.2,100.8,91.6,0.8,6.4,6.6,-9.6,24.0,32,11.4,120,7,50.4,NA,NA,10.4,3.4,4.9,6.0,0.5,0.315,0.052,0.0005,0.111,40.0,32.0,26.1,13.9,39.0,0.013,0.161,0.583,6,1,0.17,6,1,1,1.00,0.17,1,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Ludwigia,Ceratophylum,Detritus,1,1,1,3,3,1.00,0,0,0,3,0,0.00,0.00,0,0,0,3,0,0.00,0.00,0.06,1,0.00,0,0.08,0.00,1,0,0,0,1,4,0.39
S.5.6,6,AKS-PAK-E-0805-6,Eastern,-0.3175,5.90659,8,2005,Survey,Annual,Ghana,Accra,Akuapim South,Pakro,river,lotic,nature,M,E,E,6,3,2,5,1,17,Orthic Acrisols,24.3,920.7,905,2.7,7.2,7.6,-25.3,2.43,45.40,56.8,55,20,498,61,11,52.9,31.1,2.0,25.8,10.0,0.237,1.460,0.012,0.049,260.0,360.0,132.0,128.0,439.0,0.43,NA,NA,8,0,0.00,8,0,0,NA,0.00,0,0,NA,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,0,#VALUE!,0,0.00,0.00,0,NA,0,NA,1,#VALUE!,#VALUE!
S.6.21,21,SUH-SUM-E-0706-21,Eastern,-0.32136,5.94169,7,2006,Survey,N,Ghana,Accra,Suhum Kraboa Coaltar,Sumui,stream,lotic,nature,M,N,E,NA,NA,NA,NA,0,0,Orthic Acrisols,24.9,341.4,352,74.9,7.8,7.1,62.8,22.8,18.9,6.8,35,19,194,NA,NA,23.2,6.3,1.7,21.8,0.3,0.427,0.599,0.007,0.804,84.0,144.0,58.1,25.9,176.0,0.004,0.474,0.376,6,2,0.33,6,2,0,0.00,0.00,2,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Commelina,Polygonum,Detritus,1,1,1,3,3,1.00,0,0,0,3,0,0.00,0.00,0,0,0,3,0,0.00,0.00,0.00,0,0.00,1,0.00,0.00,0,0,0,0,1,5,0.44
S.6.22,22,SUH-OBO-E-0706-22,Eastern,-0.31027,6.08105,7,2006,Survey,N,Ghana,Accra,Suhum Kraboa Coaltar,Obotumpan,river,lotic,nature,M,N,E,NA,NA,NA,NA,0,0,Orthic Acrisols,25.6,216.1,197,100.8,8.1,7.4,120.4,15.9,21.4,6.5,40,12,108,NA,NA,17.6,5.8,1.2,10.9,6.4,0.273,0.128,0.001,1.260,68.0,90.0,44.1,23.9,109.0,0.002,0.376,0.645,6,2,0.33,6,2,0,0.00,0.00,2,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Commelina,None,Detritus,1,NA,1,2,2,1.00,0,NA,0,2,0,0.00,0.00,1,NA,0,2,1,0.50,0.50,0.00,0,0.17,1,0.00,0.00,0,0,0,1,1,4,0.44
S.6.25,25,AKU-ALA-E-0706-25,Eastern,-0.30907,5.86653,7,2006,Survey,N,Ghana,Accra,Akuapim South,Alafia,fetch,lentic,nature,TP,E,E,0,1,1,0,0,2,Ferric Acrisols,24.8,283.9,275,5.4,7.1,6.6,-32.1,17.1,22.6,9.0,60,27,151,NA,NA,28.9,0.9,4.6,15.9,2.3,0.147,2.520,0.001,0.367,76.0,124.0,72.1,3.9,151.0,0.001,0.939,0.635,6,1,0.17,6,1,0,0.00,0.00,1,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Nymphaea,Pistia,Detritus,1,1,1,3,3,1.00,0,NA,NA,1,0,0.00,0.00,0,NA,NA,1,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,1,4,0.39
S.5.7,7,AKS-BOW-E-0805-7,Eastern,-0.34209,5.85621,8,2005,Survey,Annual,Ghana,Accra,Akuapim South,Bowkrom,stream,lotic,nature,M,E,E,0,2,8,1,0,11,Orthic Acrisols,25.7,452.9,464,72.3,7.7,6.6,-17.2,0.86,4.46,5.4,5,8,255,49,5,32.1,12.6,0.1,65.5,10.8,0.000,0.051,0.004,0.490,132.0,148.0,80.2,51.8,181.0,1.77,NA,NA,8,5,0.63,6,3,1,0.33,0.17,3,1,0.33,0.17,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,1,#VALUE!,1,0.08,0.08,1,NA,1,NA,1,#VALUE!,#VALUE!
S.6.1,1,JAK-TAK-N-0706-1,Volta,0.41121,7.33861,7,2006,Survey,N,Ghana,Volta,Jasikan,Takrabe,stream,lotic,nature,M,N,N,0,0,0,0,0,0,Lithosols_Orthic Ac,24.7,41.0,42.5,85.5,7.2,5.8,121.6,31.7,39,3.3,35,13,23.4,NA,NA,2.4,1.9,1.2,2.0,15.3,0.014,0.020,0.011,1.570,14.0,16.0,6.0,8.0,19.5,0.001,0.205,0.252,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Polygonum,Brachiara,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.2,2,JAK-NKO-N-0706-2,Volta,0.33763,7.23443,7,2006,Survey,N,Ghana,Volta,Jasikan,Nkonya Bumbula,stream,lotic,nature,M,N,N,0,0,0,0,0,0,Lithosols_Orthic Ac,26.4,90.0,96.3,71.2,7.1,5.9,54.7,5.4,7,3.1,20,5,53,NA,NA,4.8,0.5,0.6,2.0,15.3,0.014,0.004,0.0005,1.060,14.0,32.0,12.0,2.0,39.0,0.004,0.280,0.381,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Commelina,Struchium sparganophora,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.3,3,JAK-TAP-N-0706-3,Volta,0.35664,7.47529,7,2006,Survey,N,Ghana,Volta,Jasikan,"Tampa, Bompaso",stream,lotic,nature,M,N,N,0,0,0,0,0,0,Lithosols_Orthic Ac,24.9,110.0,116,15.8,6.7,5.6,37.0,38.4,43,9.5,90,18,63.8,NA,NA,8.0,1.4,4.2,6.9,20.3,0.066,0.173,0.016,0.996,26.0,44.0,20.0,6.0,53.7,0.005,0.527,0.267,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Ludwigia,Altinantheria,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.4,4,JAK-WOR-N-0706-4,Volta,0.37441,7.52131,7,2006,Survey,N,Ghana,Volta,Jasikan,Worawora,fetch,lentic,human,2,N,N,0,0,0,0,0,0,Lithosols_Orthic Ac,25.7,48.8,52.2,40.0,5.6,4.4,237.7,4.1,4,1.9,20,4,28.7,NA,NA,0.0,0.0,1.0,4.0,7.1,0.100,0.056,0.009,13.600,0.0,12.0,0.0,0.0,14.6,0.007,0.205,0.437,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Commelina,Nytella,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.5,5,KAD-TIT-N-0706-5,Volta,0.5278,7.68075,7,2006,Survey,N,Ghana,Volta,Kadjebi,Titiaka,stream,lotic,nature,M,N,N,0,0,0,0,0,0,Lithosols_Orthic Ac,24.5,183.6,197,20.0,7.2,6.3,88.8,34.5,22,9.1,45,37,108,NA,NA,14.4,3.9,4.0,8.9,13.2,0.486,0.408,0.013,1.220,52.0,80.0,36.1,15.9,97.6,0.006,0.575,0.666,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Commelina,None ,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.6,6,KAD-ASA-N-0706-6,Volta,0.43798,7.53529,7,2006,Survey,N,Ghana,Volta,Kadjebi,Asato,stream,lotic,nature,M,N,N,0,0,0,0,0,0,Lithosols_Orthic Ac,24.8,79.0,82.8,79.3,7.1,5.8,24.2,48.9,38,4.0,38,24,45.5,NA,NA,4.8,3.4,3.5,2.0,37.5,0.190,0.084,0.007,0.441,26.0,32.0,12.0,14.0,39.0,0.005,0.461,0.138,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Commelina,Struchium sparganophora,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.7,7,HOH-LOL-N-0706-7,Volta,0.54758,7.20189,7,2006,Survey,N,Ghana,Volta,Hohoe,Lolobi Hiyasem,pond,lentic,human,2,N,N,0,0,0,0,0,0,Dystric Nitosols,25.1,282.9,302,4.7,6.8,5.9,-31.3,39.5,14,43.1,55,35,166,NA,NA,23.2,4.3,3.0,13.9,37.5,0.190,0.298,0.009,0.441,76.0,92.0,58.1,17.9,112.0,0.004,0.324,0.138,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Struchium sparganophora,Brachiara,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.8,8,HOH-LIK-N-0706-8,Volta,0.56009,7.19891,7,2006,Survey,N,Ghana,Volta,Hohoe,Likpe Agbozume,stream,lotic,nature,M,N,N,0,0,0,0,0,0,Dystric Nitosols,24.2,359.3,383,29.9,7.1,6.2,58.4,10.1,12,4.4,20,7,211,NA,NA,23.2,10.2,2.0,31.8,12.1,0.166,0.399,0.016,2.460,100.0,116.0,58.1,41.9,142.0,0.006,0.641,0.019,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Unknown C,Polygonum,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.9,9,KPA-ANF-N-0706-9,Volta,0.29705,6.89704,7,2006,Survey,N,Ghana,Volta,Kpandu,Anfoega Woademaxe,wetland,lentic,nature,TP,N,N,0,0,0,0,0,0,Ferric Luvisols,25.4,395.5,402,5.0,6.4,5.6,-150.3,69.4,31,17.6,70,40,221,NA,NA,18.4,7.8,4.7,55.6,24.4,0.062,0.215,0.016,0.441,78.0,88.0,46.1,31.9,107.0,0.004,0.826,0.0025,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Nymphaea,Lemna,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.10,10,KPA-ANF-N-0706-10,Volta,0.31125,6.90363,7,2006,Survey,N,Ghana,Volta,Kpandu,Anfoega Ando,riverine wetland,lentic,nature,M,N,N,0,0,0,0,0,0,Ferric Luvisols,25.3,41.2,44.2,67.1,6.8,5.6,157.8,47.7,66,5.3,80,24,24.3,NA,NA,1.6,1.0,4.0,1.0,18.3,0.211,0.092,0.017,0.772,8.0,22.0,4.0,4.0,26.8,0.005,0.333,0.107,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Echinechloa,Brachiara,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.11,11,KPA-KPA-N-0706-11,Volta,0.31931,7.02687,7,2006,Survey,N,Ghana,Volta,Kpandu,Kpandu Agudzi,fetch,lentic,human,7,N,N,0,0,0,0,0,0,Lithosols_Orthic Ac,25.6,63.0,86.9,5.7,5.6,4.5,39.2,61.1,91,8.3,110,22,46.8,NA,NA,0.0,0.0,3.5,5.0,28.4,0.358,0.071,0.035,1.200,0.0,14.0,0.0,0.0,17.1,0.002,0.386,0.216,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Pistia,Brachiara,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.12,12,HOH-AKP-N-0706-12,Volta,0.4003,7.1149,7,2006,Survey,N,Ghana,Volta,Hohoe,Akplamafu,stream,lotic,nature,M,N,N,0,0,0,0,0,0,Ferric Luvisols,24.7,38.0,39.6,79.0,6.9,5.4,97.5,22.9,36,4.1,55,15,21.8,NA,NA,1.6,1.0,1.5,2.0,12.3,0.152,0.058,0.019,1.460,8.0,16.0,4.0,4.0,19.5,0.003,0.355,0.195,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Brachiara,Commelina,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.13,13,HO-ADA-N-0706-13,Volta,0.41836,6.47864,7,2006,Survey,N,Ghana,Volta,Ho,Adaklu Dzakpo,river,lotic,nature,M,N,N,0,0,0,0,0,0,Chromic Vertisols,24.9,264.6,276,77.9,7.7,6.3,88.5,31.9,50,6.4,70,26,152,NA,NA,17.6,2.4,2.3,19.9,20.0,0.038,0.025,0.020,0.591,54.0,90.0,44.1,9.9,110.0,0.004,0.558,0.278,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Brachiara,None,Detritus,0,NA,0,2,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.14,14,HO-ADA-N-0706-14,Volta,0.49859,6.44893,7,2006,Survey,N,Ghana,Volta,Ho,Adaklu Amedzivie,wetland,lentic,nature,TP,N,N,0,0,0,0,0,0,Soladic Planosols,28.2,80.7,80,35.4,6.9,6.1,132.2,17.5,37,5.8,50,21,44,NA,NA,4.0,1.9,0.8,0.0,12.3,0.083,0.154,0.014,0.569,18.0,40.0,10.0,8.0,48.8,0.008,0.813,0.081,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Typha,Nymphaea,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.15,15,HO-ADA-N-0706-15,Volta,0.50163,6.3935,7,2006,Survey,N,Ghana,Volta,Ho,Adaklu Dorkpo,wetland,lentic,nature,TP,N,N,0,0,0,0,0,0,Soladic Planosols,27.5,124.8,133,7.7,6.8,6.0,89.4,1.8,5,7.4,20,7,73.2,NA,NA,12.0,2.4,0.6,1.0,2.0,0.083,0.129,0.003,0.335,40.0,62.0,30.1,9.9,75.6,0.001,0.346,0.335,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Pistia,Ipomoea,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.16,16,HO-ADA-N-0706-16,Volta,0.52505,6.35666,7,2006,Survey,N,Ghana,Volta,Ho,Adaklu Tevikpo,lake/reservoir,lentic,human,6,N,N,0,0,0,0,0,0,Soladic Planosols,29.3,120.2,127,21.4,6.9,6.0,127.9,6.4,35,15.7,60,47,69.9,NA,NA,9.6,1.9,1.1,6.9,4.1,0.211,0.165,0.009,0.633,32.0,56.0,24.0,8.0,68.3,0.005,0.487,0.013,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Nymphaea,Leersia,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.6.17,17,HO-GAV-N-0706-17,Volta,0.63203,6.52854,7,2006,Survey,N,Ghana,Volta,Ho,Gavorkpo,fetch,lentic,human,2,N,N,0,0,0,0,0,0,Soladic Planosols,26.7,74.5,78,19.3,6.5,5.6,193.1,45.0,62,13.8,100,27,43,NA,NA,1.6,1.0,2.5,6.0,14.3,0.313,0.978,0.033,0.996,8.0,28.0,4.0,4.0,34.2,0.008,0.628,0.0025,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Echinechloa,Nymphaea,Detritus,1,0,1,3,2,0.67,0,NA,0,2,0,0.00,0.00,0,NA,1,2,1,0.50,0.33,0.00,0,0.11,1,0.00,0.00,0,0,0,1,1,2,0.22
S.6.18,18,HO-WAY-N-0706-18,Volta,0.56437,6.58938,7,2006,Survey,N,Ghana,Volta,Ho,Wayanu,stream,lotic,nature,M,N,N,0,0,0,0,0,0,Eutric Nitosols,24.9,114.6,121,51.1,7.1,6.2,147.9,34.1,50,8.1,70,9,66.6,NA,NA,8.0,0.5,1.1,9.9,13.6,0.322,0.031,0.011,0.591,22.0,46.0,20.0,2.0,56.1,0.010,0.245,0.345,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Brachiara,Commelina,Detritus,0,1,1,3,2,0.67,NA,NA,0,1,0,0.00,0.00,NA,NA,1,1,1,1.00,0.33,0.00,0,0.11,1,0.00,0.00,0,0,0,1,1,2,0.22
S.6.19,19,HO-ABU-N-0706-19,Volta,0.34758,6.48063,7,2006,Survey,N,Ghana,Volta,Ho,Abutia Kloe,fetch,lentic,human,2,N,N,0,0,0,0,0,0,Ferric Luvisols,25.8,92.9,99.8,7.0,5.8,5.0,111.8,140.2,84,6.3,110,34,54.9,NA,NA,4.8,2.4,2.8,10.9,15.9,0.209,0.095,0.026,0.388,22.0,28.0,12.0,10.0,34.2,0.004,0.311,0.096,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Commelina,Struchium sparganophora,Detritus,1,1,1,3,3,1.00,0,0,0,3,0,0.00,0.00,0,0,1,3,1,0.33,0.33,0.00,0,0.11,1,0.00,0.00,0,0,0,1,1,3,0.33
S.6.20,20,HO-AGO-N-0706-20,Volta,0.30215,6.39933,7,2006,Survey,N,Ghana,Volta,Ho,Agodeke,stream,lotic,nature,M,N,N,0,0,0,0,0,0,Ferric Luvisols,25.5,192.7,244,57.9,7.5,6.8,109.9,27.0,28,7.7,40,19,134,NA,NA,18.4,3.9,1.0,13.9,6.3,0.194,0.380,0.020,1.880,62.0,96.0,46.1,15.9,117.0,0.003,0.152,0.205,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Commelina,Brachiara,Detritus,1,1,1,3,3,1.00,0,0,0,3,0,0.00,0.00,1,0,0,3,1,0.33,0.33,0.00,0,0.11,1,0.00,0.00,0,0,0,1,1,3,0.33
S.7.10,11,NTO-TAD-N-0807-11,Volta,0.47895,6.13521,8,2007,Survey,N,Ghana,Volta,North Tongu,Tadeafenui,lake/reservoir,lentic,human,6,N,N,0,0,0,0,NA,0,Solodic Planosols,26.4,119.5,121.0,79.3,7.3,7.2,167.7,41.7,39.9,10.614,5,33,66.6,14.6,5.3,10.4,1.9,2.57,7.9,16.8,0.555,0.021,0.02,0.825,34,50,26.1,7.9,61,NA,0.0005,0.0025,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Ludwigia,Nymphaea,Detritus,0,0,1,3,1,0.33,NA,NA,0,1,0,0.00,0.00,NA,NA,0,1,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,1,1,0.11
S.7.11,12,NTO-DOF-N-0807-12,Volta,0.29076,6.08409,8,2007,Survey,N,Ghana,Volta,North Tongu,Dofor Fortikpoe,river,lotic,nature,M,N,N,0,0,0,0,NA,0,Solodic Planosols,28.1,70.5,69.8,74.8,7.0,7.0,124.8,4.6,2.62,1.469,2.5,13,38.4,6.9,3.6,6.4,2.9,0.049,2,5.53,0.242,0.032,0.0005,1.57,28,36,16,12,43.9,NA,0.0005,0.865,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Vassia,Ludwigia,Detritus,0,0,1,3,1,0.33,NA,NA,0,1,0,0.00,0.00,NA,NA,0,1,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,1,1,0.11
S.7.12,13,KAD-PAM-N-0807-13,Volta,0.56673,7.80563,8,2007,Survey,N,Ghana,Volta,Kadjebi,Pampamwie,stream,lotic,nature,M,N,N,0,0,0,0,NA,0,Dystric Nitosols,23.6,155.7,153.0,92.6,7.2,7.4,19.3,20.0,26.4,2.714,5,46,84.2,10.3,2.8,14.4,6.3,0.851,6,1,0.325,0.037,0.017,3.17,62,78,36.1,25.9,95.2,NA,0.004,0.084,5,1,0.20,5,1,0,0.00,0.00,1,0,0.00,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Commelina,Struchium,Detritus,1,0,0,3,1,0.33,0,NA,NA,1,0,0.00,0.00,0,NA,NA,1,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,1,2,0.18
